CompanyName,CompanyNumber,sample_group,SICCode.SicText_1,RegAddress.PostTown,RegAddress.PostCode,guessed_website
ML OFFICIAL LIMITED,10948434,manufacturing,14190 - Manufacture of other wearing apparel and accessories n.e.c.,LONDON,E17 8JH,https://www.mlofficial.com
YAMAL LTD,16219402,professional_b2b,62030 - Computer facilities management activities,DONCASTER,DN1 2LQ,https://www.yamal.co.uk
ASAIM LTD,16140163,professional_b2b,70100 - Activities of head offices,LONDON,WC2H 9JQ,https://www.asaim.com
KYTTO LTD,16731288,professional_b2b,70229 - Management consultancy activities other than financial management,CATERHAM,CR3 6HG,
FLOWTICO LTD,14988793,professional_b2b,62012 - Business and domestic software development,BRIGHTON,BN1 1NH,https://www.flowtico.com
GREY STATE ADVISORS LIMITED,17135004,professional_b2b,62020 - Information technology consultancy activities,HARPENDEN,AL5 3PR,https://www.greystateadvisors.com
OQTAVE FLY INNOVATION LTD,14924940,professional_b2b,62012 - Business and domestic software development,CAMBRIDGE,CB4 3AX,
PURPLE PRINCE MEDIA LTD,10633525,professional_b2b,62012 - Business and domestic software development,NEWPORT,TF10 7TG,
TOPTRADESPREMIER LTD,16878201,professional_b2b,62090 - Other information technology service activities,LONDON,E16 1ND,
LEWIS FINANCIAL CONSULTING LTD,17172988,professional_b2b,70229 - Management consultancy activities other than financial management,SOLIHULL,B93 9PA,https://www.lewisfinancialconsulting.com
DAN TAGOE LTD,10306440,professional_b2b,73110 - Advertising agencies,MARGATE,CT9 2NS,
SAFARI TECHNOLOGY LTD,11201178,professional_b2b,62090 - Other information technology service activities,MILTON KEYNES,MK9 2HR,
CGT CONSULTING GROUP LTD,16982707,professional_b2b,70229 - Management consultancy activities other than financial management,SMETHWICK,B67 6NH,https://www.cgtconsulting.co.uk
SMILING LTD,16140585,professional_b2b,62020 - Information technology consultancy activities,LEIGH-ON-SEA,SS9 2AF,https://www.smiling.co.uk
PLUSGENIE LIMITED,08228924,professional_b2b,62020 - Information technology consultancy activities,CAMBRIDGE,CB4 3LA,
SHETLAND WOOL WEEK LIMITED,08960947,professional_b2b,70210 - Public relations and communications activities,HARROGATE,HG1 1ND,https://www.shetlandwoolweek.com
LAUNCHBOARD ANALYTICS LTD,16632077,professional_b2b,62012 - Business and domestic software development,LONDON,WC2H 9JQ,
AVO INVENTS LIMITED,09860277,professional_b2b,74100 - specialised design activities,NOTTINGHAM,NG9 1HD,https://www.avoinvents.co.uk
INFRASPACE LTD,14581638,professional_b2b,62090 - Other information technology service activities,BRIDGWATER,TA6 6ZL,https://www.infraspace.co.uk
EVALITY LTD,08314356,professional_b2b,70229 - Management consultancy activities other than financial management,BEWDLEY,DY12 2DX,
DARKINI COMPUTER SERVICES LIMITED,02977649,professional_b2b,63990 - Other information service activities n.e.c.,SHIPLEY,BD17 5NW,
NEILHIGHLEY.COM LTD,04878450,professional_b2b,62012 - Business and domestic software development,LONDON,EC2A 4NE,
COPIA ENERGY LTD,16505839,professional_b2b,62012 - Business and domestic software development,LONDON,SE1 7PB,https://www.copiaenergy.co.uk
BREITECH UK LIMITED,12025678,professional_b2b,62020 - Information technology consultancy activities,LONDON,N3 2SZ,
DT SOURCE CONSTRUCTION LTD,11642654,professional_b2b,70229 - Management consultancy activities other than financial management,EPSOM,KT18 7RL,
PROJEXIA LIMITED,12522823,professional_b2b,62090 - Other information technology service activities,DONCASTER,DN9 3QZ,
THE TAN PLAN LTD,15585244,professional_b2b,62090 - Other information technology service activities,BARNSLEY,S75 3LS,https://www.thetanplan.com
LYVE WYRE GROUP LIMITED,13966596,professional_b2b,62012 - Business and domestic software development,BERKHAMSTED,HP4 1ND,
BUMBLE CONSULTANCY LIMITED,12207826,professional_b2b,"74909 - Other professional, scientific and technical activities n.e.c.",BLACKBURN,BB1 7ED,
GROWTH IQ GROUP LTD,08684840,professional_b2b,70229 - Management consultancy activities other than financial management,LONDON,W1W 5PF,https://www.growthiq.com
MYRIAD GROUP TECHNOLOGIES LTD,05195808,professional_b2b,62012 - Business and domestic software development,LONDON,EC2R 7BH,
KANIGHT LTD,16544520,professional_b2b,70229 - Management consultancy activities other than financial management,LONDON,EC2A 4NE,
JGGJ LIMITED,14359699,professional_b2b,62020 - Information technology consultancy activities,BUCKINGHAMSHIRE,HP7 9BU,https://www.jggj.com
J.G.B UNISEX SALOON LTD,13022561,professional_b2b,62020 - Information technology consultancy activities,LONDON,E15 3EU,
